"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Abies","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer negundo","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer saccharum","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Alnus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Amaranthaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ambrosia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Arceuthobium","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Artemisia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Asteraceae subf. Asteroideae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Betula","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Brassicaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Carya","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Corylus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cupressaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cyclachaena xanthiifolia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cyperaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Dalea candida-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Equisetum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Fraxinus americana-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Indeterminable","NISP","pollen/spore",NA,"Unidentified","UNID",NA,NA
"Myriophyllum","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Ostrya/Carpinus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Picea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pinus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Poaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Populus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Potamogetonaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Quercus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Rumex","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Salix","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Sample quantity","ml","volume examined",NA,"Laboratory analyses","LABO",NA,NA
"Sparganium-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Thalictrum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Tilia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Typha latifolia","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Ulmus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Unknown","NISP","pollen/spore",NA,"Unidentified","UNID",NA,NA
"Vitis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Apiaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus nigra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Iva annua","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Juglans cinerea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Juglans nigra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Platanus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Zea mays","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ephedra nevadensis-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Morus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Plantago","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Sarcobatus vermiculatus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Celtis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Dryopteris-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Pteridium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Amorpha","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Dalea purpurea","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Myrica","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Tsuga","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Xanthium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Asteraceae subf. Cichorioideae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Humulus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Castanea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Larix","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Lemna","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Rosaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ephedra torreyana-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Sphagnum","NISP","spore",NA,"Bryophytes","AQBR",NA,NA
"Sagittaria","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Persicaria maculosa-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Alnus incana","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Alnus viridis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Fabaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pediastrum","NISP","colony",NA,"Algae","ALGA",NA,NA
"Poaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Rosaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Acer undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Caryophyllaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus nigra-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Juniperus/Thuja","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Polygonaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Dalea","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Populus balsamifera","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Ericaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Sanguisorba canadensis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Botrychium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Galium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus pennsylvanica","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Urtica-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Euphorbia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ephedra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Saxifragaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Shepherdia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Fagus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Polypodium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Nyssa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Potentilla","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Menyanthes trifoliata","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Ambrosia-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Pteridium-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Nuphar","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Lycopodium-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Asteraceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ranunculus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Epilobium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Shepherdia canadensis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Liliaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Selaginella","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Polygonum sensu lato","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Urtica","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Abies balsamea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer saccharinum-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Celtis occidentalis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Chenopodium-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus pennsylvanica-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Iva annua-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Juglans cf. J. cinerea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Juglans cf. J. nigra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Laportea-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Myriophyllum sibiricum-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Nymphaea","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Populus tremuloides-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pteridium aquilinum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Rhus/Toxicodendron cf. T. vernix","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Tilia americana","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Utricularia","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Humulus lupulus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Larix laricina","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Potamogeton","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Athyrium filix-femina","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"cf. Gymnocarpium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Chamaesyce","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cornus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Lycopus-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Rugubivesiculites","NISP","pollen","anachronic","Vascular plants","TRSH",NA,NA
"Rumex cf. R. salicifolius","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Thelypteris palustris","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Diphasiastrum complanatum-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Cingutriletes interruptus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Taxus canadensis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Aquilapollenites","NISP","pollen","anachronic","Vascular plants","ANAC",NA,NA
"Dinoflagellata","NISP","cyst","anachronic","Dinoflagellates","DINO",NA,NA
"Morus rubra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Scutellaria cf. S. galericulata","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Scheuchzeria palustris","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Boraginaceae cf. Mertensia paniculata","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Isoëtes","NISP","spore",NA,"Vascular plants","AQVP",NA,NA
"Cyclachaena xanthiifolia-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Psilatriletes vulgaris","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Ranunculus-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Retitetradites monocolpatus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,NA
"cf. Punctatisporites punctus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Psilatriletes excelsus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Punctatriletes parvimundus","NISP","spore","anachronic","Vascular plants","SEED",NA,NA
"Striatriletes","NISP","spore","anachronic","Vascular plants","VACR",NA,NA
"Stuckenia","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Unknown undiff.","NISP","pollen/spore","anachronic","Unidentified","UNID",NA,NA
"Psilatriletes vitreus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"cf. Clavabivesiculites pannosus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,NA
"cf. Rugulatisporites quintus","NISP","spore","anachronic","Vascular plants","VACR",NA,NA
"cf. Verrumonocolpites conspicuus","NISP","pollen","anachronic","Vascular plants","SEED",NA,NA
"Osmundastrum cinnamomeum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Retitricolpites prolatus","NISP","pollen","anachronic","Vascular plants","ANAC",NA,NA
"Botrychium lunaria","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Adiantum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Botrychium cf. B. multifidum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Calla palustris","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"cf. Foveoinaperturites scaphoformis","NISP","palynomorph","anachronic","Vascular plants","ANAC",NA,NA
"cf. Gemmainaperturites rugosus","NISP","palynomorph","anachronic","Vascular plants","ANAC",NA,NA
"cf. Striatriletes bifurcus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"cf. Triplanosporites","NISP","spore","anachronic","Vascular plants","VACR",NA,NA
"cf. Verruinaperturites depressus","NISP","palynomorph","anachronic","Vascular plants","SEED",NA,NA
"Cingutriletes congruens","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Cingutriletes densocingulatus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Foveotriletes triplanus","NISP","spore","anachronic","Vascular plants","ANAC",NA,NA
"Rugutriletes regularis","NISP","spore","anachronic","Vascular plants","VACR",NA,NA
"Verrumonoporites verrucatus","NISP","pollen","anachronic","Vascular plants","SEED",NA,NA
"Amaranthaceae","NISP","pollen",NA,"Vascular plants","UPHE","Amaranthaceae",NA
"Brasenia schreberi","NISP","pollen",NA,"Vascular plants","AQVP","Brasenia schreberi",NA
"Eucalyptus spike","number","counted",NA,"Laboratory analyses","LABO","Eucalyptus spike",NA
"Eucalyptus suspension","grains/ml","concentration",NA,"Laboratory analyses","LABO","Eucalyptus suspension|concentration|grains/ml",NA
"Eucalyptus suspension","ml","quantity added",NA,"Laboratory analyses","LABO","Eucalyptus suspension|quantity added|ml",NA
"Pinus subg. Pinus","NISP","pollen",NA,"Vascular plants","TRSH","Pinus subg. Pinus",NA
"Pinus subg. Strobus","NISP","pollen",NA,"Vascular plants","TRSH","Pinus subg. Strobus",NA
"Pinus undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Pinus undiff.",NA
"Rhamnus","NISP","pollen",NA,"Vascular plants","TRSH","Rhamnus",NA
"Sample quantity","ml","volume",NA,"Laboratory analyses","LABO","Sample quantity",NA
"Acer rubrum","NISP","pollen",NA,"Vascular plants","TRSH","Acer rubrum",NA
"Dryopteris","NISP","spore",NA,"Vascular plants","VACR","Dryopteris",NA
"Huperzia lucidula","NISP","spore",NA,"Vascular plants","VACR","Huperzia lucidula",NA
"Rhus","NISP","pollen",NA,"Vascular plants","TRSH","Rhus",NA
"Acer saccharinum","NISP","pollen",NA,"Vascular plants","TRSH","Acer saccharinum",NA
"Fraxinus pennsylvanica/F. americana-type","NISP","pollen",NA,"Vascular plants","TRSH","Fraxinus pennsylvanica/F. americana-type",NA
"Ilex","NISP","pollen",NA,"Vascular plants","TRSH","Ilex",NA
"Lycopodiaceae undiff.","NISP","spore",NA,"Vascular plants","VACR","Lycopodiaceae undiff.",NA
"Unknown (monolete)","NISP","spore",NA,"Unidentified","UNID","Unknown (monolete)",NA
"Lycopodium clavatum","NISP","spore",NA,"Vascular plants","VACR","Lycopodium clavatum",NA
"Botrychium-type","NISP","spore",NA,"Vascular plants","VACR","Botrychium-type",NA
"Typha/Sparganium","NISP","pollen",NA,"Vascular plants","AQVP","Typha/Sparganium",NA
"Pinus banksiana/P. resinosa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pinus strobus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Lamiaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Onagraceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Microspheres","number","counted",NA,"Laboratory analyses","LABO","Microspheres",NA
"Microsphere suspension","ml","quantity added",NA,"Laboratory analyses","LABO","Microsphere suspension|quantity added|ml",NA
"Microsphere suspension","number/ml","concentration",NA,"Laboratory analyses","LABO","Microsphere suspension|concentration|number/ml",NA
"Osmunda","NISP","spore",NA,"Vascular plants","VACR","Osmunda",NA
"Humulus/Cannabis sativa","NISP","pollen",NA,"Vascular plants","UPHE","Humulus/Cannabis sativa",NA
"Unknown (trilete)","NISP","spore",NA,"Unidentified","UNID","Unknown (trilete)",NA
"Selaginella rupestris","NISP","spore",NA,"Vascular plants","VACR","Selaginella rupestris",NA
"Sarracenia","NISP","pollen",NA,"Vascular plants","AQVP","Sarracenia",NA
"Persicaria lapathifolia-type","NISP","pollen",NA,"Vascular plants","UPHE","Persicaria lapathifolia-type",NA
"Caprifoliaceae sensu lato","NISP","pollen",NA,"Vascular plants","TRSH","Caprifoliaceae sensu lato",NA
"Populus undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Populus undiff.",NA
"Alnus cf. A. incana","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Ostrya-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Thuja-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Trifolium repens-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Alnus cf. A. viridis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Athyrium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Humulus-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Agastache-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Ceanothus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Huperzia lucidula-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Juglans cinerea-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Myriophyllum alterniflorum-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Parietaria-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cyperaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Cyperaceae undiff.",NA
"Brassicaceae cf. Brassica","NISP","pollen",NA,"Vascular plants","UPHE","Brassicaceae cf. Brassica",NA
"Brassicaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Brassicaceae undiff.",NA
"cf. Eriogonum","NISP","pollen",NA,"Vascular plants","UPHE","cf. Eriogonum",NA
"Plantago undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Plantago undiff.",NA
"Liquidambar","NISP","pollen",NA,"Vascular plants","TRSH","Liquidambar",NA
"Unknown (trilete) undiff.","NISP","spore",NA,"Unidentified","UNID","Unknown (trilete) undiff.",NA
"Fallopia convolvulus-type","NISP","pollen",NA,"Vascular plants","UPHE","Fallopia convolvulus-type",NA
"Juglans nigra-type","NISP","pollen",NA,"Vascular plants","TRSH","Juglans nigra-type",NA
"Lycopodiaceae cf. Lycopodium annotinum","NISP","spore",NA,"Vascular plants","VACR","Lycopodiaceae cf. Lycopodium annotinum",NA
"Potentilla-type","NISP","pollen",NA,"Vascular plants","UPHE","Potentilla-type",NA
"Rumex undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Rumex undiff.",NA
"Rumex acetosa-type","NISP","pollen",NA,"Vascular plants","UPHE","Rumex acetosa-type",NA
"Cyperaceae cf. Rhynchospora alba","NISP","pollen",NA,"Vascular plants","AQVP","Cyperaceae cf. Rhynchospora alba",NA
"Araceae subf. Lemnoideae","NISP","pollen",NA,"Vascular plants","AQVP","Araceae subf. Lemnoideae",NA
"Plantago major-type","NISP","pollen",NA,"Vascular plants","UPHE","Plantago major-type",NA
"Lycopodiaceae cf. Diphasiastrum complanatum","NISP","spore",NA,"Vascular plants","VACR","Lycopodiaceae cf. Diphasiastrum complanatum",NA
"Rhus/Toxicodendron cf. T. radicans","NISP","pollen",NA,"Vascular plants","TRSH","Rhus/Toxicodendron cf. T. radicans",NA
"cf. Phacelia hastata","NISP","pollen",NA,"Vascular plants","UPHE","cf. Phacelia hastata",NA
"cf. Sambucus","NISP","pollen",NA,"Vascular plants","TRSH","cf. Sambucus",NA
"Dalea undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Dalea undiff.",NA
"Shepherdia argentea","NISP","pollen",NA,"Vascular plants","TRSH","Shepherdia argentea",NA
"Stachys-type","NISP","pollen",NA,"Vascular plants","UPHE","Stachys-type",NA
"Persicaria amphibia-type","NISP","pollen",NA,"Vascular plants","UPHE","Persicaria amphibia-type",NA
"Acer spicatum","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Alnus incana-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Alnus viridis-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Salsola","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Amelanchier-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cerealia-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Impatiens","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lycopodium annotinum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Lycopodium obscurum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Fraxinus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Indeterminable undiff.","NISP","pollen/spore",NA,"Unidentified","UNID",NA,NA
"Juglans","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Fabaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Caltha","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Epilobium-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Hippuris vulgaris","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Rubiaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Selaginella selaginoides","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Ophioglossum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Saxifraga","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Acer","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Angiospermae undiff. (herbs)","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Pinus strobus-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Potamogetonaceae-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Dalea candida","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lycopodiaceae","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Symphoricarpos occidentalis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Lycopodium tablets","grains/tablet","concentration",NA,"Laboratory analyses","LABO","Lycopodium tablets|concentration|grains/tablet",NA
"Lycopodium tablets","number","quantity added",NA,"Laboratory analyses","LABO","Lycopodium tablets|quantity added|number",NA
"Sample quantity","g","dry mass examined",NA,"Laboratory analyses","LABO","Sample quantity|dry mass examined|g",NA
"Ericales","NISP","pollen",NA,"Vascular plants","TRSH","Ericales",NA
"Elaeagnus","NISP","pollen",NA,"Vascular plants","TRSH","Elaeagnus",NA
"Typha/Sparganium undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Typha/Sparganium undiff.",NA
"Fraxinus (tetracolpate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Fraxinus (tricolpate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Juniperus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pinus subg. Pinus undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cerealia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Caprifoliaceae sensu lato undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pinus banksiana","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Primulaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Angiospermae undiff.","NISP","pollen",NA,"Vascular plants","SEED",NA,NA
"Polypodiaceae","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Viola","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Viburnum","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pinus resinosa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cornus sericea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Corylus americana","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Corylus cornuta","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Isoëtes lacustris","NISP","spore",NA,"Vascular plants","AQVP",NA,NA
"Isoëtes undiff.","NISP","spore",NA,"Vascular plants","AQVP",NA,NA
"Populus tremuloides","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Urticaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Amorpha canescens","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Comptonia peregrina","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Diphasiastrum complanatum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Caulophyllum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Acer saccharum-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Alnus undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Spermatophyta undiff. (shrubs)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Taxus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Spermatophyta undiff. (trees)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Chamaedaphne calyculata","NISP","pollen",NA,"Vascular plants","TRSH","Chamaedaphne calyculata",NA
"Polygalaceae","NISP","pollen",NA,"Vascular plants","UPHE","Polygalaceae",NA
"Ericaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Ericaceae undiff.",NA
"Cupressaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Cupressaceae undiff.",NA
"Prunus","NISP","pollen",NA,"Vascular plants","TRSH","Prunus",NA
"Cephalanthus","NISP","pollen",NA,"Vascular plants","TRSH","Cephalanthus",NA
"Juniperus-type","NISP","pollen",NA,"Vascular plants","TRSH","Juniperus-type",NA
"Heteranthera","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Cannabis sativa-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Platanus occidentalis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Onosmodium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ephedra trifurca-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Prosopis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Rhamnus alnifolia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Phlox","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Zanthoxylum americanum","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pilea-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Caltha-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ephedra viridis-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Huperzia selago","NISP","spore",NA,"Vascular plants","VACR",NA,NA
