"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Amorpha fruticosa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Onoclea sensibilis","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"cf. Pedicularis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cornus cf. C. rugosa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Caulophyllum thalictroides","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Woodsia obtusa","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Gymnocarpium robertianum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Polypodium virginianum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Vitis cf. V. aestivalis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer nigrum","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acalypha cf. A. rhomboidea","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Botrychium cf. B. lunaria","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Woodsia cf. W. ilvensis","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"cf. Lobelia siphilitica","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Monotropa uniflora","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Dryopteris cf. D. filix-mas","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Myosotis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Osmunda regalis","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Prunus americana","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Thalictrum dasycarpum-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Tilletia sphagni","NISP","spore",NA,"Fungi","FUNG",NA,NA
"cf. Asplenium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Dryopteris cf. D. fragrans","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Triodanis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Tidestromia lanuginosa","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Castanea dentata","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Arabis glabra","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Dryopteris cf. D. goldiana","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Phlox cf. P. hoodii","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Thalictrum dioicum-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Hedysarum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Pollen concentration","grains/ml",NA,NA,"Laboratory analyses","LABO",NA,NA
"Moraceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Myricaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Populus grandidentata-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Thuja plicata-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Unknown (monolete, psilate)","NISP","spore",NA,"Unidentified","UNID",NA,NA
"Typha angustifolia","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Hydrophyllum virginianum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lythrum alatum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Unknown (Cretaceous)","NISP","palynomorph","anachronic","Unidentified","ANAC",NA,NA
"Pontederiaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Lythraceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Avena/Triticum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Secale","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Triticum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Campanula aparinoides-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ranunculus undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ranunculus aquatilis-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Cannabaceae sensu stricto undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lycopodium spike","number","counted",NA,"Laboratory analyses","LABO",NA,NA
"Anacardiaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cerealia undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lilium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Gentiana puberulenta-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Botrychium cf. B. dissectum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Pollen concentration","grains/ml","Eucalyptus method",NA,"Laboratory analyses","LABO","Pollen concentration|Eucalyptus method|grains/ml",NA
"Lythrum","NISP","pollen",NA,"Vascular plants","UPHE","Lythrum",NA
"Campanula rotundifolia-type","NISP","pollen",NA,"Vascular plants","UPHE","Campanula rotundifolia-type",NA
"Zanthoxylum-type","NISP","pollen",NA,"Vascular plants","TRSH","Zanthoxylum-type",NA
"Matteuccia","NISP","spore",NA,"Vascular plants","VACR","Matteuccia",NA
"Lysimachia thyrsiflora","NISP","pollen",NA,"Vascular plants","UPHE","Lysimachia thyrsiflora",NA
"Viburnum rafinesquianum-type","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum rafinesquianum-type",NA
"Solanum rostratum","NISP","pollen",NA,"Vascular plants","UPHE","Solanum rostratum",NA
"Comandra","NISP","pollen",NA,"Vascular plants","UPHE","Comandra",NA
"Lilium philadelphicum-type","NISP","pollen",NA,"Vascular plants","UPHE","Lilium philadelphicum-type",NA
"Dalea purpurea-type","NISP","pollen",NA,"Vascular plants","UPHE","Dalea purpurea-type",NA
"Parietaria","NISP","pollen",NA,"Vascular plants","UPHE","Parietaria",NA
"Lysimachia quadriflora-type","NISP","pollen",NA,"Vascular plants","UPHE","Lysimachia quadriflora-type",NA
"Cornus sericea-type","NISP","pollen",NA,"Vascular plants","TRSH","Cornus sericea-type",NA
"Viburnum opulus-type","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum opulus-type",NA
"Anemone canadensis-type","NISP","pollen",NA,"Vascular plants","UPHE","Anemone canadensis-type",NA
"Ranunculaceae (tricolpate) undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Ranunculaceae (tricolpate) undiff.",NA
"Valeriana","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lamiaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Viscaceae sensu stricto","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Polemonium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Hypericum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Spiraea","NISP","pollen",NA,"Vascular plants","TRSH","Spiraea",NA
"Toxicodendron vernix","NISP","pollen",NA,"Vascular plants","TRSH","Toxicodendron vernix",NA
"Fabaceae cf. Melilotus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Geum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ranunculus flabellaris-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Viburnum lentago","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Toxicodendron radicans-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Amorpha","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Typha undiff.","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Rubiaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Dicentra","NISP","pollen",NA,"Vascular plants","UPHE","Dicentra",NA
"Parnassia","NISP","pollen",NA,"Vascular plants","UPHE","Parnassia",NA
"Cornus undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Cornus undiff.",NA
"Callitriche","NISP","pollen",NA,"Vascular plants","AQVP","Callitriche",NA
"Vicia-type","NISP","pollen",NA,"Vascular plants","UPHE","Vicia-type",NA
"Ilex/Nemopanthus","NISP","pollen",NA,"Vascular plants","TRSH","Ilex/Nemopanthus",NA
"Fallopia convolvulus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Crataegus-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Gleditsia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Maianthemum trifolia-type","NISP","pollen",NA,"Vascular plants","UPHE","Maianthemum trifolia-type",NA
"Nemopanthus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Linaria canadensis","NISP","pollen",NA,"Vascular plants","UPHE","cf. Linaria canadensis",NA
"cf. Tidestromia","NISP","pollen",NA,"Vascular plants","UPHE","cf. Tidestromia",NA
"Isoëtes echinospora","NISP","spore",NA,"Vascular plants","AQVP","Isoëtes echinospora",NA
"Ophioglossum vulgatum","NISP","spore",NA,"Vascular plants","VACR","Ophioglossum vulgatum",NA
"Botrychium multifidum","NISP","spore",NA,"Vascular plants","VACR","Botrychium multifidum",NA
"Rumex cf. R. verticillatus","NISP","pollen",NA,"Vascular plants","UPHE","Rumex cf. R. verticillatus",NA
"Viburnum cf. V. opulus","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum cf. V. opulus",NA
"Achillea-type","NISP","pollen",NA,"Vascular plants","UPHE","Achillea-type",NA
"cf. Parietaria pensylvanica","NISP","pollen",NA,"Vascular plants","UPHE","cf. Parietaria pensylvanica",NA
"Cymatiosphere","NISP","palynomorph","anachronic","Unidentified","ANAC","Cymatiosphere",NA
"Rosaceae cf. Rubus pubescens","NISP","pollen",NA,"Vascular plants","TRSH","Rosaceae cf. Rubus pubescens",NA
"Sanguinaria canadensis","NISP","pollen",NA,"Vascular plants","UPHE","Sanguinaria canadensis",NA
